review_priority,priority_score,review_reason,related_exam_count,mapping_id,subject,grade_band,domain_code_2015,domain_code_2022,change_type,similarity,code_2015,text_2015,source_2015,page_2015,code_2022,text_2022,source_2022,page_2022,review_required
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-NEW-4사05-02,사회,3-4,,05,new_or_unmatched,0.0,,,,,4사05-02,"[4사05-02] 지도에서 우리 지역의 위치를 파악하고, 우리 지역의 지리 정보를 탐색한다. (가) 성취기준 해설 •",[별책7] 사회과 교육과정.pdf,29,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-NEW-4사06-01,사회,3-4,,06,new_or_unmatched,0.0,,,,,4사06-01,"[4사06-01] 지역의 문화유산을 통해 문화유산의 의미와 유형을 알아보고, 문화유산의 가치를 탐색한다.",[별책7] 사회과 교육과정.pdf,30,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-NEW-4사06-02,사회,3-4,,06,new_or_unmatched,0.0,,,,,4사06-02,"[4사06-02] 지역의 박물관, 기념관, 유적지 등을 체험하고 지역의 역사를 이해한다.(가) 성취기준 해설 •",[별책7] 사회과 교육과정.pdf,30,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 생활; 자동 추정 대응,0,MAP-NEW-4사09-01,사회,3-4,,09,new_or_unmatched,0.0,,,,,4사09-01,"[4사09-01] 생활 주변에서 찾을 수 있는 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하는 능력을 기른다.",[별책7] 사회과 교육과정.pdf,32,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 지역; 자동 추정 대응,0,MAP-NEW-4사09-02,사회,3-4,,09,new_or_unmatched,0.0,,,,,4사09-02,"[4사09-02] 지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 노력을 알고 관심을 갖는다. (가) 성취기준 해설 •",[별책7] 사회과 교육과정.pdf,32,True
low,11,교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 탐구; 자동 추정 대응,0,MAP-NEW-4사10-02,사회,3-4,,10,new_or_unmatched,0.0,,,,,4사10-02,"[4사10-02] 사례에서 도시의 인구, 교통, 산업 등의 특징을 탐구하고, 도시에서의 삶의 모습을 이해한다. (가) 성취기준 해설 •",[별책7] 사회과 교육과정.pdf,33,True
low,11,교과가중치 4; 학년군가중치 3; 변화유형가중치 4; 자동 추정 대응,0,MAP-6사01-03-REMOVED,사회,5-6,01,,removed_or_unmatched,0.0,6사01-03,[6사01-03] 우 리 나 라 의 기후 환경 및 지형 환 경 에서 나타나는 SAS 탐 구 한다.,별책7_사회과 교육과정(제2015-74호).pdf,39,,,,,True
low,11,교과가중치 4; 학년군가중치 3; 변화유형가중치 4; 자동 추정 대응,0,MAP-6사01-05-REMOVED,사회,5-6,01,,removed_or_unmatched,0.0,6사01-05,[6사01-05] 우 리 나 라 의 인구 분포 및 구 조 에서 나타난 변 화 와 도시 발달 과 정 에서 나타난 특징 다.,별책7_사회과 교육과정(제2015-74호).pdf,39,,,,,True
low,11,교과가중치 4; 학년군가중치 3; 변화유형가중치 4; 자동 추정 대응,0,MAP-6사03-03-REMOVED,사회,5-6,03,,removed_or_unmatched,0.0,6사03-03,"[6사03-03] 고 려 를 세우고 외 침 을 막는 데 힘쓴 인 물 (왕건, 서희, 강감찬 등 ) 의 업 적 을 통하여 고 려 의 개 창과 외침 극복 과 정 을 탐 색 한다",별책7_사회과 교육과정(제2015-74호).pdf,46,,,,,True
low,11,교과가중치 4; 학년군가중치 3; 변화유형가중치 4; 자동 추정 대응,0,MAP-6사03-04-REMOVED,사회,5-6,03,,removed_or_unmatched,0.0,6사03-04,"[6사03-04] 고 려 청 자 와 금속 팔자, 팔 만 대장경 등 의 문 화 유 산 을 통하여 고려 시대 과학 기 술 과 문 화 의 우 수 성 을 탐 색 한다 CUS 문 화 를 지켜 나간 2M)",별책7_사회과 교육과정(제2015-74호).pdf,46,,,,,True
